verbo|traducao|exemplo|nivel
die Postleitzahl, -en|o código postal|Wie ist deine Postleitzahl?|B1
die Praxis, die Praxen|o consultório, a prática|Ich habe einen Termin in der Praxis.|B1
der Preis, -e|o preço|Der Preis ist hoch.|A1
die Prämie, -n|o prêmio, a bonificação|Er hat eine Prämie bekommen.|B1
die Presse (kein Plural)|a imprensa|Die Presse berichtet über das Ereignis.|B1
der Priester, - / die Priesterin, -nen|o sacerdote / a sacerdotisa|Der Priester hält eine Messe.|B1
der Problem, -e|o problema|Ich habe ein Problem.|A1
die Produktion, -en|a produção|Die Produktion ist gestiegen.|A2
das Produkt, -e|o produto|Das ist ein neues Produkt.|A2
der Profi, -s|o profissional|Er ist ein Profi in seinem Bereich.|B1
das Programm, -e|o programa|Ich sehe gern Fernsehprogramme.|A2
die Probe, -n|o ensaio, a prova|Wir haben heute eine Probe.|B2
der Prospekt, -e|o folheto|Ich habe einen Prospekt über die Stadt bekommen.|B1
die Prostitution (kein Plural)|a prostituição|Prostitution ist in Deutschland legal.|B2
der Protest, -e|o protesto|Der Protest war friedlich.|A2
der Provider, - (engl.)|o provedor (de internet);|Welchen Provider hast du?|A2
die Prüfung, -en|a prova, o exame|Ich habe morgen eine Prüfung.|A2
das Publikum, -s|o público|Das Publikum war begeistert.|B1
der Pudding, -s|o pudim|Ich esse gern Schokoladenpudding.|B1
der Pullover, -|o suéter|Ich trage einen warmen Pullover.|A2
die Puppe, -n|a boneca|Die Kinder spielen mit Puppen.|B1
die Pute, -n|o peru|Wir essen Pute zu Weihnachten.|B1
der Putz (kein Plural)|o reboco, o estuque|Der Putz an der Wand ist alt.|B2
die Qualität, -en|a qualidade|Die Qualität ist sehr gut.|B2
der Quark (kein Pl.)|o requeijão (tipo alemão);|Ich esse Quark mit Früchten.|B1
die Quelle, -n|a fonte|Das ist eine wichtige Quelle.|B1
der Rabatt, -e|o desconto|Ich habe einen Rabatt bekommen.|B2
der Radar, -e|o radar|Das Radar zeigt Flugzeuge an.|B2
das Radiergummi, -s|a borracha|Ich brauche einen Radiergummi.|A1
das Radio, -s|o rádio|Ich höre gern Radio.|A1
das Rad, -er|a roda, a bicicleta|Das Rad ist kaputt.|A1
der Radfahrweg, -e; der Radweg, -e|a ciclovia|Der Radweg ist sehr schön.|B1
der Rahmen, -|a moldura, a estrutura|Der Rahmen des Bildes ist aus Holz.|B2
der Rat, die Ratschläge|o conselho|Kannst du mir einen Rat geben?|B1
das Rathaus, -er|a prefeitura|Das Rathaus ist im Stadtzentrum.|A2
der Rauch (fast nie Pl.)|a fumaça|Der Rauch stört mich.|B1
das Rauchverbot, -e|a proibição de fumar|Es gibt ein Rauchverbot in Restaurants.|B1
der Raum, -e|o espaço, a sala|Der Raum ist sehr groß.|A2
der Rausch, -e|a embriaguez, o delírio|Er ist im Rausch der Geschwindigkeit.|B1
das Rauschgift, -e|a droga (ilegal)|Rauschgift ist gefährlich.|B1
