traducao|verbo|exemplo|nivel
o código postal|die Postleitzahl, -en|Wie ist deine Postleitzahl?|B1
o consultório, a prática|die Praxis, die Praxen|Ich habe einen Termin in der Praxis.|B1
o preço|der Preis, -e|Der Preis ist hoch.|A1
o prêmio, a bonificação|die Prämie, -n|Er hat eine Prämie bekommen.|B1
a imprensa|die Presse (kein Plural)|Die Presse berichtet über das Ereignis.|B1
o sacerdote / a sacerdotisa|der Priester, - / die Priesterin, -nen|Der Priester hält eine Messe.|B1
o problema|der Problem, -e|Ich habe ein Problem.|A1
a produção|die Produktion, -en|Die Produktion ist gestiegen.|A2
o produto|das Produkt, -e|Das ist ein neues Produkt.|A2
o profissional|der Profi, -s|Er ist ein Profi in seinem Bereich.|B1
o programa|das Programm, -e|Ich sehe gern Fernsehprogramme.|A2
o ensaio, a prova|die Probe, -n|Wir haben heute eine Probe.|B2
o folheto|der Prospekt, -e|Ich habe einen Prospekt über die Stadt bekommen.|B1
a prostituição|die Prostitution (kein Plural)|Prostitution ist in Deutschland legal.|B2
o protesto|der Protest, -e|Der Protest war friedlich.|A2
o provedor (de internet);|der Provider, - (engl.)|Welchen Provider hast du?|A2
a prova, o exame|die Prüfung, -en|Ich habe morgen eine Prüfung.|A2
o público|das Publikum, -s|Das Publikum war begeistert.|B1
o pudim|der Pudding, -s|Ich esse gern Schokoladenpudding.|B1
o suéter|der Pullover, -|Ich trage einen warmen Pullover.|A2
a boneca|die Puppe, -n|Die Kinder spielen mit Puppen.|B1
o peru|die Pute, -n|Wir essen Pute zu Weihnachten.|B1
o reboco, o estuque|der Putz (kein Plural)|Der Putz an der Wand ist alt.|B2
a qualidade|die Qualität, -en|Die Qualität ist sehr gut.|B2
o requeijão (tipo alemão);|der Quark (kein Pl.)|Ich esse Quark mit Früchten.|B1
a fonte|die Quelle, -n|Das ist eine wichtige Quelle.|B1
o desconto|der Rabatt, -e|Ich habe einen Rabatt bekommen.|B2
o radar|der Radar, -e|Das Radar zeigt Flugzeuge an.|B2
a borracha|das Radiergummi, -s|Ich brauche einen Radiergummi.|A1
o rádio|das Radio, -s|Ich höre gern Radio.|A1
a roda, a bicicleta|das Rad, -er|Das Rad ist kaputt.|A1
a ciclovia|der Radfahrweg, -e; der Radweg, -e|Der Radweg ist sehr schön.|B1
a moldura, a estrutura|der Rahmen, -|Der Rahmen des Bildes ist aus Holz.|B2
o conselho|der Rat, die Ratschläge|Kannst du mir einen Rat geben?|B1
a prefeitura|das Rathaus, -er|Das Rathaus ist im Stadtzentrum.|A2
a fumaça|der Rauch (fast nie Pl.)|Der Rauch stört mich.|B1
a proibição de fumar|das Rauchverbot, -e|Es gibt ein Rauchverbot in Restaurants.|B1
o espaço, a sala|der Raum, -e|Der Raum ist sehr groß.|A2
a embriaguez, o delírio|der Rausch, -e|Er ist im Rausch der Geschwindigkeit.|B1
a droga (ilegal)|das Rauschgift, -e|Rauschgift ist gefährlich.|B1
